,datetime,um100,um025,pm10,pm25,pm1,um010
1673,2022-03-11 15:00:00-01:00,0.0,0.0433333333333333,10.506666666666666,9.166666666666666,6.02,0.574
1674,2022-03-11 16:00:00-01:00,0.001,0.047,12.77,10.84,6.87,0.686
1675,2022-03-11 17:00:00-01:00,0.0,0.0361538461538461,10.323076923076922,9.038461538461538,5.992307692307692,0.5346153846153846
1676,2022-03-11 18:00:00-01:00,0.0,0.0578947368421052,13.405263157894735,11.73157894736842,6.942105263157895,0.6973684210526315
1677,2022-03-11 19:00:00-01:00,0.0,0.0655555555555555,15.594444444444443,13.661111111111111,8.505555555555555,0.82
1678,2022-03-11 20:00:00-01:00,0.0,0.0628571428571428,15.407142857142857,13.542857142857144,8.55,0.7907142857142857
1679,2022-03-11 21:00:00-01:00,0.0,0.0328571428571428,9.178571428571429,8.092857142857143,4.921428571428572,0.4878571428571429
1680,2022-03-11 22:00:00-01:00,0.0,0.0325,8.15,6.875,4.1375,0.42875
1681,2022-03-11 23:00:00-01:00,0.0,0.02,5.891666666666667,5.033333333333333,3.216666666666667,0.3216666666666667
1682,2022-03-12 00:00:00-01:00,0.0,0.0183333333333333,4.85,4.083333333333333,2.638888888888889,0.27
1683,2022-03-12 01:00:00-01:00,0.0,0.0157142857142857,4.921428571428572,4.242857142857143,2.75,0.2599999999999999
1684,2022-03-12 02:00:00-01:00,0.0,0.0213333333333333,6.526666666666667,5.493333333333334,3.433333333333333,0.3273333333333333
1685,2022-03-12 03:00:00-01:00,0.0,0.0252941176470588,6.976470588235294,5.935294117647059,3.5176470588235293,0.34
1686,2022-03-12 04:00:00-01:00,0.0,0.026875,7.8,6.7125,3.9375,0.38875
1687,2022-03-12 05:00:00-01:00,0.0,0.0314285714285714,7.8428571428571425,6.592857142857143,3.8285714285714287,0.3657142857142857
1688,2022-03-12 06:00:00-01:00,0.0,0.0253846153846153,6.607692307692308,5.484615384615385,3.3076923076923075,0.3138461538461538
